"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
6344134130,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/394990598","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","Lasius niger",NA,"SPECIES","Lasius niger (Linnaeus, 1758)","Lasius niger","","AT","Weidmoos - N2000","Salzburg","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",48.023762,12.947707,3,NA,NA,NA,NA,NA,"2026-04-27",27,4,2026,5035785,5035785,"HUMAN_OBSERVATION","","","",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 169089",NA,NA,"2026-06-02T18:35:35.973Z","StillImage",""
6274049914,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/357966759","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","Lasius niger",NA,"SPECIES","Lasius niger (Linnaeus, 1758)","Lasius niger","","AT","","Steiermark","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.822146,15.52612,191,NA,NA,NA,NA,NA,"2026-04-24T13:55",24,4,2026,5035785,5035785,"HUMAN_OBSERVATION","iNaturalist","Observations","357966759",NA,"Felix Kraker","2026-05-03T16:56:06","CC_BY_NC_4_0","Felix Kraker","Felix Kraker",NA,NA,"2026-06-06T04:03:18.309Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND"
6251608913,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/357940292","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","Lasius niger",NA,"SPECIES","Lasius niger (Linnaeus, 1758)","Lasius niger","","AT","","Steiermark","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.876389,15.396389,NA,NA,NA,NA,NA,NA,"2026-04-25T14:28",25,4,2026,5035785,5035785,"HUMAN_OBSERVATION","iNaturalist","Observations","357940292",NA,"Felix Kraker","2026-05-03T15:44:11","CC_BY_NC_4_0","Felix Kraker","Felix Kraker",NA,NA,"2026-06-06T03:35:27.407Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND"
6248162684,"c1492854-5d15-40e9-9ee7-24a18ac05112","99225AD1-4BC8-4BC1-A2EF-AA14184758F7","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","Lasius niger",NA,"SPECIES","Lasius niger (Linnaeus, 1758)","Lasius niger (Linnaeus, 1758)","Linnaeus, 1758","AT","Nußdorf am Haunsberg","","PRESENT",NA,"7a070ba0-bafb-11d9-8e53-b8a03c50a862",47.921291,12.959394,50,NA,396,NA,NA,NA,"2023-04-29",29,4,2023,5035785,5035785,"HUMAN_OBSERVATION","HNS","Biodiversitätsdatenbank Salzburg","3905245",NA,"","","CC_BY_NC_4_0","","ContactID: 159203",NA,NA,"2026-05-22T05:02:26.970Z","","CONTINENT_DERIVED_FROM_COORDINATES"
6248154478,"c1492854-5d15-40e9-9ee7-24a18ac05112","3A30903F-1040-42BC-B6C2-7AA5BD9046D1","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","Lasius niger",NA,"SPECIES","Lasius niger (Linnaeus, 1758)","Lasius niger (Linnaeus, 1758)","Linnaeus, 1758","AT","Wals-Siezenheim","","PRESENT",NA,"7a070ba0-bafb-11d9-8e53-b8a03c50a862",47.816955,12.994676,4,NA,427,NA,NA,NA,"2026-02-08",8,2,2026,5035785,5035785,"HUMAN_OBSERVATION","HNS","Biodiversitätsdatenbank Salzburg","3954950",NA,"","","CC_BY_NC_4_0","","ContactID: 2786",NA,NA,"2026-05-22T05:02:10.453Z","","CONTINENT_DERIVED_FROM_COORDINATES"
6248076701,"c1492854-5d15-40e9-9ee7-24a18ac05112","2BB60707-FD76-499A-BDDD-B30995EBDCEA","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","Lasius niger",NA,"SPECIES","Lasius niger (Linnaeus, 1758)","Lasius niger (Linnaeus, 1758)","Linnaeus, 1758","AT","Anif","","PRESENT",NA,"7a070ba0-bafb-11d9-8e53-b8a03c50a862",47.75,13.07,1000,NA,429,NA,NA,NA,"2024-04-26",26,4,2024,5035785,5035785,"HUMAN_OBSERVATION","HNS","Biodiversitätsdatenbank Salzburg","3905535",NA,"","","CC_BY_NC_4_0","","ContactID: 159203",NA,NA,"2026-05-22T05:02:09.810Z","","CONTINENT_DERIVED_FROM_COORDINATES"
6178303452,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/343130730","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","Lasius niger",NA,"SPECIES","Lasius niger (Linnaeus, 1758)","Lasius niger","","AT","","Steiermark","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",47.269286,15.6918,4,NA,NA,NA,NA,NA,"2026-03-15T13:07",15,3,2026,5035785,5035785,"HUMAN_OBSERVATION","iNaturalist","Observations","343130730",NA,"Florian Arbesleitner","2026-03-15T15:56:20","CC_BY_NC_4_0","Florian Arbesleitner","Florian Arbesleitner",NA,NA,"2026-06-06T04:01:28.142Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND"
6130352559,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/325520962","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","Lasius niger",NA,"SPECIES","Lasius niger (Linnaeus, 1758)","Lasius niger","","AT","","Niederösterreich","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",48.007804,16.460464,4,NA,NA,NA,NA,NA,"2025-06-25T19:07",25,6,2025,5035785,5035785,"HUMAN_OBSERVATION","iNaturalist","Observations","325520962",NA,"Bakos Ádám","2025-11-11T10:23:24","CC_BY_NC_4_0","gernotkunz","gernotkunz",NA,NA,"2026-06-06T03:52:07.668Z","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND"
5920351988,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/329991456","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","Lasius niger",NA,"SPECIES","Lasius niger (Linnaeus, 1758)","Lasius niger","","AT","","Niederösterreich","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",48.009154,16.459924,56,NA,NA,NA,NA,NA,"2025-06-09",9,6,2025,5035785,5035785,"HUMAN_OBSERVATION","iNaturalist","Observations","329991456",NA,"Felix Kraker","2025-12-08T15:46:50","CC_BY_NC_4_0","Felix Kraker","Felix Kraker",NA,NA,"2026-06-06T03:59:59.305Z","StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND"
5830648295,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/315816914","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","Lasius niger",NA,"SPECIES","Lasius niger (Linnaeus, 1758)","Lasius niger","","AT","","Oberösterreich","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",48.026466,14.404279,NA,NA,NA,NA,NA,NA,"2025-09-22T16:31:28",22,9,2025,5035785,5035785,"HUMAN_OBSERVATION","iNaturalist","Observations","315816914",NA,"Martin Scheidleder","2025-09-22T14:48:02","CC_BY_4_0","Martin Scheidleder","Martin Scheidleder",NA,NA,"2026-06-06T03:50:44.391Z","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND"
